date,tic,close,high,low
2024-01-24,VZ,35.057007,35.957212,34.980574
2024-01-24,WMT,52.15831,52.993493,52.099813
2024-01-25,AAPL,191.83128,193.906,190.78405
2024-01-25,AMGN,287.48837,287.54397,283.26306
2024-01-25,CRM,274.28476,275.09082,272.15165
2024-01-25,CSCO,49.075176,49.29087,48.531249
2024-01-25,IBM,175.58041,181.54589,170.41711
2024-01-25,INTC,48.895157,49.635245,48.322824
2024-01-25,MSFT,397.1535,399.25273,394.85811
2024-01-25,NKE,95.305626,96.223028,94.662499
2024-01-25,VZ,35.914749,35.92324,35.099471
2024-01-25,WMT,52.918751,52.928502,52.132313
2024-01-26,AAPL,190.10237,192.41418,189.62816
2024-01-26,AMGN,288.88754,289.11919,287.11772
2024-01-26,CRM,275.17923,278.5214,273.95049
2024-01-26,CSCO,48.896992,49.347136,48.756324
2024-01-26,IBM,172.80515,177.38759,171.6434
2024-01-26,INTC,43.073132,44.80987,42.777093
2024-01-26,MSFT,396.23138,398.42871,394.75997
2024-01-26,NKE,97.178268,97.670068,95.731236
2024-01-26,VZ,36.008175,36.084607,35.753397
2024-01-26,WMT,53.383465,53.419208,52.860257
2024-01-29,AAPL,189.42067,189.88501,187.29657
2024-01-29,AMGN,290.44424,290.60175,287.14553
2024-01-29,CRM,282.96457,283.24965,276.22125
2024-01-29,CSCO,49.037655,49.131434,48.606267
2024-01-29,IBM,172.54697,174.68606,171.54197
2024-01-29,INTC,43.260616,43.408635,42.24423
2024-01-29,MSFT,401.9111,402.16616,396.62382
2024-01-29,NKE,98.246994,98.369949,95.844727
2024-01-29,VZ,35.71093,35.999675,35.379723
2024-01-29,WMT,53.63369,53.75393,53.139732
2024-01-30,AAPL,185.7751,189.48982,185.21197
2024-01-30,AMGN,291.52832,291.80632,287.72924
2024-01-30,CRM,282.83682,284.37029,281.64738
2024-01-30,CSCO,48.990768,49.159569,48.765694
2024-01-30,IBM,173.22006,173.93924,172.20585
2024-01-30,INTC,42.352772,43.240879,42.323169
2024-01-30,MSFT,400.80258,405.17757,398.70338
2024-01-30,NKE,98.530731,98.653679,97.537666
2024-01-30,VZ,36.067616,36.178016,35.507111
2024-01-30,WMT,53.81242,53.883915,53.172222
2024-01-31,AAPL,182.17894,184.84643,182.12955
2024-01-31,AMGN,291.1947,293.40003,289.67506
2024-01-31,CRM,276.30966,280.77246,276.04426
2024-01-31,CSCO,47.058891,48.709421,46.955733
2024-01-31,IBM,169.33832,173.01717,168.85886
2024-01-31,INTC,42.510666,43.211282,41.80018
2024-01-31,MSFT,390.00247,407.40438,389.63953
2024-01-31,NKE,96.024414,98.644212,95.636651
2024-01-31,VZ,35.96571,36.696065,35.702444
2024-01-31,WMT,53.701939,54.530624,53.656444
2024-02-01,AAPL,184.6093,184.69821,181.60592
2024-02-01,AMGN,300.73874,300.97967,290.67583
2024-02-01,CRM,278.97363,280.20238,276.57513
2024-02-01,CSCO,47.058891,47.321475,46.721282
2024-02-01,IBM,172.3257,172.88813,168.46244
2024-02-01,INTC,42.786961,42.994184,41.928459
2024-02-01,MSFT,396.08423,400.2238,394.14196
2024-02-01,NKE,96.241936,96.705363,95.154295
2024-02-01,VZ,36.08461,36.279937,35.643
2024-02-01,WMT,54.69635,54.709352,53.679184
2024-02-02,AAPL,183.61148,185.07365,177.09097
2024-02-02,AMGN,299.46936,301.85999,297.20844
2024-02-02,CRM,280.80203,283.25952,278.34455
2024-02-02,CSCO,47.058891,47.246452,46.533721
2024-02-02,IBM,171.30225,172.77749,171.1455
2024-02-02,INTC,42.037003,42.569867,41.050218
2024-02-02,MSFT,403.38245,404.78518,395.86844
2024-02-02,NKE,95.248886,95.910932,94.038297
2024-02-02,VZ,35.778877,36.067622,35.524103
2024-02-02,WMT,55.105824,55.434047,54.569614
2024-02-05,AAPL,185.41943,186.97053,183.6016
2024-02-05,AMGN,298.33884,305.52002,294.39149
2024-02-05,CRM,283.21027,284.13428,276.57506
2024-02-05,CSCO,46.430565,47.030761,46.196114
2024-02-05,IBM,169.11705,171.29302,168.96952
2024-02-05,INTC,42.204758,42.579737,41.869251
2024-02-05,MSFT,397.91861,403.3236,396.29024
2024-02-05,NKE,94.27475,95.1354,93.678915
2024-02-05,VZ,35.141933,35.821332,35.057007
2024-02-05,WMT,54.810097,55.248809,54.618362
2024-02-06,AAPL,187.01994,187.02982,184.52042
2024-02-06,AMGN,292.87186,302.96256,291.64873
2024-02-06,CRM,280.96909,283.73133,277.11577
2024-02-06,CSCO,46.871338,47.462154,46.693157
2024-02-06,IBM,169.10785,170.27881,168.76669
2024-02-06,INTC,42.298779,42.338363,41.70497
2024-02-06,MSFT,397.76169,400.19443,395.23087
2024-02-06,NKE,97.04586,97.064773,93.754564
2024-02-06,VZ,34.904148,35.303296,34.776763
2024-02-06,WMT,55.183815,55.229314,54.706105
2024-02-07,AAPL,187.12862,188.74886,186.33825
2024-02-07,AMGN,274.15445,292.35297,273.59848
2024-02-07,CRM,283.92789,284.87155,280.34981
2024-02-07,CSCO,46.6744,47.218324,46.38368
2024-02-07,IBM,169.41211,169.67027,168.38867
2024-02-07,INTC,42.338364,42.65506,42.110738
2024-02-07,MSFT,406.15848,406.40371,399.63523
2024-02-07,NKE,98.161873,98.682044,96.799956
2024-02-07,VZ,34.326653,34.938113,34.2757
2024-02-07,WMT,55.044075,55.460041,54.985582
2024-02-08,AAPL,186.05174,187.25703,185.09342
2024-02-08,AMGN,273.20935,276.12815,267.58485
2024-02-08,CRM,286.98505,288.12529,284.06555
2024-02-08,CSCO,46.843204,46.880717,46.468082
2024-02-08,IBM,171.53348,171.71026,168.86316
2024-02-08,INTC,42.061256,42.526406,41.893013
2024-02-08,MSFT,406.21732,407.63969,404.66744
2024-02-08,NKE,98.14296,99.268433,97.462008
2024-02-08,VZ,33.893547,34.284201,33.494399
2024-02-08,WMT,55.040829,55.424294,54.966084
2024-02-09,AAPL,186.81345,187.94115,185.97261
2024-02-09,AMGN,269.75308,273.34831,268.44657
2024-02-09,CRM,286.34604,290.21904,286.10029
2024-02-09,CSCO,47.012009,47.13392,46.543108
2024-02-09,IBM,173.37572,174.15727,171.05896
2024-02-09,INTC,42.862896,43.070727,41.96229
2024-02-09,MSFT,412.53464,412.79951,407.17871
2024-02-09,NKE,98.833366,99.249509,97.726813
2024-02-09,VZ,33.732182,34.046403,33.341524
2024-02-09,WMT,55.011578,55.157817,54.894588
2024-02-12,AAPL,185.13176,186.63537,184.77564
2024-02-12,AMGN,272.82013,272.97766,267.65894
2024-02-12,CRM,282.43381,286.05122,282.11924
2024-02-12,CSCO,46.880718,47.077656,46.449327
2024-02-12,IBM,173.20824,173.50597,171.22642
2024-02-12,INTC,43.575459,44.575034,42.872789
2024-02-12,MSFT,407.34549,412.72103,406.8452
2024-02-12,NKE,101.36803,101.60448,98.975228
2024-02-12,VZ,34.054893,34.114341,33.570822
2024-02-12,WMT,55.343052,55.362551,54.936833
2024-02-13,AAPL,183.04451,184.20191,181.53101
2024-02-13,AMGN,269.16013,273.83019,265.83362
2024-02-13,CRM,276.36865,278.60988,271.71911
2024-02-13,CSCO,46.552483,46.833822,46.083582
2024-02-13,IBM,170.9194,171.91497,169.67263
2024-02-13,INTC,42.714443,43.179592,42.318571
2024-02-13,MSFT,398.5759,402.25443,395.70175
2024-02-13,NKE,99.306259,100.06288,98.596929
2024-02-13,VZ,34.080379,34.36063,33.698217
2024-02-13,WMT,54.966087,55.593287,54.683359
2024-02-14,AAPL,182.16409,183.52922,180.47254
2024-02-14,AMGN,268.78015,269.52142,266.44509
2024-02-14,CRM,284.2326,284.53733,279.79932
2024-02-14,CSCO,47.152672,47.208941,46.468077
2024-02-14,IBM,170.79845,172.12895,169.57958
2024-02-14,INTC,43.733807,43.832777,42.942066
2024-02-14,MSFT,402.42822,402.77219,397.59309
2024-02-14,NKE,100.56413,100.64924,98.795526
2024-02-14,VZ,34.097366,34.428573,33.944501
2024-02-14,WMT,54.790596,54.881586,54.446124
2024-02-15,AAPL,181.87723,182.50044,179.3943
2024-02-15,AMGN,269.94748,271.1428,266.70703
2024-02-15,CRM,286.97516,287.03414,283.112
2024-02-15,CSCO,46.00856,46.599373,45.19267
2024-02-15,IBM,173.86884,173.97118,170.84495
2024-02-15,INTC,43.595253,44.80266,43.565564
2024-02-15,MSFT,399.5488,402.07448,397.31795
2024-02-15,NKE,100.29932,101.51936,100.09125
2024-02-15,VZ,34.471031,34.496508,34.122839
2024-02-15,WMT,55.014828,55.196815,54.585864
2024-02-16,AAPL,180.34396,182.85658,179.71087
2024-02-16,AMGN,264.93271,268.67742,264.53113
2024-02-16,CRM,284.79297,287.10301,282.98426
2024-02-16,CSCO,45.427116,46.027313,45.380227
2024-02-16,IBM,174.58527,175.80412,173.01284
2024-02-16,INTC,43.060829,43.763502,42.674856
2024-02-16,MSFT,397.09186,401.24892,396.48255
2024-02-16,NKE,97.897057,99.022523,96.137917
2024-02-16,VZ,34.386108,34.53897,33.749171
2024-02-16,WMT,55.362549,55.872759,55.014827
2024-02-20,AAPL,179.60204,180.46265,178.05886
2024-02-20,AMGN,264.75531,266.42688,261.9911
2024-02-20,CRM,281.51956,285.9037,279.31764
2024-02-20,CSCO,45.277073,45.455258,44.873818
2024-02-20,IBM,170.67749,175.63667,170.32392
2024-02-20,INTC,44.060402,44.703689,42.971755
2024-02-20,MSFT,395.84381,397.51448,391.14624
2024-02-20,NKE,97.698448,98.20916,96.629719
2024-02-20,VZ,34.394596,34.742788,34.199269
2024-02-20,WMT,57.149902,58.934011,56.94517
2024-02-21,AAPL,180.35384,180.91768,178.71173
2024-02-21,AMGN,264.70859,266.87512,262.22455
2024-02-21,CRM,278.72791,278.74758,273.62616
2024-02-21,CSCO,45.46463,45.502143,44.920707
2024-02-21,IBM,167.19766,170.29598,166.31376
2024-02-21,INTC,43.02124,44.228643,42.635267
2024-02-21,MSFT,395.24429,395.35241,390.36984
2024-02-21,NKE,99.561607,99.798051,97.3485
2024-02-21,VZ,34.904148,34.921133,34.284196
2024-02-21,WMT,56.447968,57.058919,56.155488
2024-02-22,AAPL,182.38173,182.96538,180.49234
2024-02-22,AMGN,266.31482,266.81911,262.69148
2024-02-22,CRM,288.6561,289.61944,286.44436
2024-02-22,CSCO,45.549034,45.670949,45.155159
2024-02-22,IBM,171.39392,171.71026,169.27253
2024-02-22,INTC,42.536301,44.218752,42.090945
2024-02-22,MSFT,404.55099,405.71064,401.52412
2024-02-22,NKE,99.38192,100.26149,98.436146
2024-02-22,VZ,34.589924,34.759774,34.06339
2024-02-22,WMT,57.003666,57.023165,56.32122
2024-02-23,AAPL,180.5517,183.04451,180.26482
2024-02-23,AMGN,270.0502,272.90777,267.08992
2024-02-23,CRM,287.82059,292.93217,286.12984
2024-02-23,CSCO,45.820999,46.083583,45.48339
2024-02-23,IBM,172.79887,173.48739,171.72889
2024-02-23,INTC,42.546196,43.060824,42.219601
2024-02-23,MSFT,403.26355,408.68834,401.91718
2024-02-23,NKE,99.902084,100.83841,99.485949
2024-02-23,VZ,34.530472,34.946605,34.360621
2024-02-23,WMT,57.052414,57.731609,56.971172
2024-02-26,AAPL,179.20636,180.7891,178.70185
2024-02-26,AMGN,267.42609,270.69455,266.54827
2024-02-26,CRM,295.28152,298.663,289.98317
2024-02-26,CSCO,45.389614,45.858515,45.352101
2024-02-26,IBM,171.3195,173.18036,171.25437
2024-02-26,INTC,42.546196,43.229071,42.377949
2024-02-26,MSFT,400.51187,405.05219,400.33495
2024-02-26,NKE,98.871201,100.34661,98.133498
2024-02-26,VZ,33.706703,34.505,33.4859
2024-02-26,WMT,58.105328,58.33931,56.720941
2024-02-27,AAPL,180.66054,181.93662,177.62364
2024-02-27,AMGN,260.06735,262.61677,258.75997
